,ID_1,long,lat,order,hole,piece,group,Name,Crimes.reported,Population.millions.,Area.sqkm.,Population.density.per.sq.km.,Literacy.Rate.in.percent,Percentage.of.Urban.Population.to.total.Population,Sex.Ratio
59,1287,92.708894,12.556742,59,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
60,1287,92.704819,12.566262,60,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
61,1287,92.706672,12.59556,61,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
62,1287,92.695085,12.607275,62,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
63,1287,92.736061,12.640521,63,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
64,1287,92.733107,12.65332,64,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
65,1287,92.744339,12.667681,65,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
66,1287,92.732886,12.674411,66,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
67,1287,92.727822,12.69166,67,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
68,1287,92.741112,12.70028,68,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
69,1287,92.741668,12.721391,69,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
70,1287,92.721108,12.788621,70,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
71,1287,92.724381,12.827971,71,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
72,1287,92.738106,12.829491,72,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
73,1287,92.76979,12.862572,73,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
74,1287,92.793167,12.862971,74,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
75,1287,92.792176,12.890091,75,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
76,1287,92.803161,12.896873,76,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
77,1287,92.82686158,12.89325275,77,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
78,1287,92.824569,12.896759,78,FALSE,1,1287.1,NA,NA,NA,NA,NA,NA,NA,NA
